FAILURE_TYPE,DATE,POTENTIAL_PRICE,POTENTIAL_DATE
Low,2023-12-04,4234,2025-02-12
High,2024-04-21,4234,2024-07-25
Low,2023-11-01,7234,2024-11-07
Critical,2024-01-27,8053,2025-03-24
High,2024-03-19,735,2024-07-23
Mild,2023-11-12,4971,2024-08-26
High,2023-11-01,3397,2024-07-06
Low,2024-03-17,5585,2024-12-19
Mild,2023-12-04,9033,2024-06-24
Low,2024-04-12,3023,2025-01-14
Mild,2024-02-21,6031,2024-10-27
Low,2024-02-02,8122,2025-01-08
Low,2024-01-11,2485,2025-03-12
High,2024-02-16,970,2025-01-28
Mild,2023-11-28,8449,2024-08-17
High,2024-04-19,2774,2024-10-16
Mild,2023-11-23,3422,2024-07-21
Mild,2024-01-31,9503,2025-04-01
Mild,2024-04-10,1128,2024-07-30
Low,2023-10-15,6814,2024-07-27
Critical,2023-11-02,8919,2024-11-18
High,2023-10-25,8410,2024-05-18
High,2024-03-17,8054,2025-01-29
Critical,2023-12-06,711,2024-07-08
High,2023-11-05,5708,2024-07-27
Critical,2024-02-10,2219,2024-10-17
Critical,2023-11-06,6605,2024-05-04
Low,2024-04-15,5409,2024-08-31
Mild,2024-04-18,3102,2025-01-30
Critical,2023-10-27,6183,2024-06-11
High,2023-11-04,6930,2025-01-05
Critical,2024-02-02,7509,2024-08-18
Low,2024-04-03,1339,2024-11-05
Mild,2024-04-27,6211,2025-02-25
High,2023-12-26,3449,2024-11-16
Critical,2023-10-30,975,2024-08-12
High,2023-12-19,706,2024-07-26
Mild,2024-03-14,4050,2024-12-28
Mild,2024-01-09,8744,2024-06-09
High,2024-01-23,9715,2024-11-26
High,2023-11-17,7531,2024-07-03
Critical,2023-11-14,2698,2024-05-05
Low,2024-04-13,13,2025-01-20
Mild,2023-12-24,8021,2024-09-14
High,2023-10-21,5427,2024-10-03
Low,2023-12-04,8600,2025-03-24
Mild,2023-10-27,8354,2025-04-20
Mild,2023-10-17,4583,2024-10-12
Low,2023-12-21,6432,2024-12-24
High,2024-04-17,2645,2024-11-10
Critical,2024-04-03,560,2024-06-04
Mild,2024-01-09,1184,2024-09-01
Low,2024-03-18,7775,2024-05-02
Mild,2023-10-29,4455,2025-02-11
Low,2023-10-11,1403,2024-12-29
Low,2024-01-10,1160,2024-09-21
High,2023-12-07,9905,2024-11-03
Critical,2023-10-15,5468,2024-08-15
Mild,2023-12-29,8896,2024-06-08
High,2023-11-15,2213,2025-01-22
Critical,2024-01-17,9744,2025-03-20
Low,2024-03-15,5449,2025-01-31
Mild,2024-03-21,6148,2024-05-12
High,2023-11-10,2474,2025-03-11
Critical,2023-10-14,5800,2024-09-18
Low,2024-01-23,2756,2024-05-04
Critical,2024-04-07,539,2025-01-26
Low,2024-02-27,6385,2024-12-30
Critical,2023-12-22,1995,2025-02-17
Mild,2024-02-04,8473,2025-03-01
Critical,2023-11-24,3328,2024-05-03
Critical,2023-10-24,1755,2024-05-04
Mild,2023-11-22,4600,2024-06-08
Critical,2023-10-21,9119,2024-10-09
Mild,2024-03-13,6799,2025-01-06
Critical,2024-01-28,4885,2024-08-09
Low,2023-11-19,1462,2025-02-26
Mild,2023-10-12,7843,2024-07-18
Low,2023-11-26,6676,2024-07-21
High,2023-11-29,4185,2024-12-06
High,2023-12-01,6201,2025-04-06
Low,2024-01-31,6210,2024-11-20
High,2023-11-24,4573,2025-02-11
Critical,2024-04-06,7150,2024-09-09
Critical,2024-02-28,739,2024-08-25
Low,2024-04-27,7847,2025-03-05
Low,2024-01-29,9770,2025-02-16
Critical,2023-11-05,4623,2025-02-08
Critical,2024-02-27,2872,2024-09-12
Critical,2024-01-09,2974,2024-08-04
Critical,2023-11-27,5992,2024-08-01
High,2023-11-25,9160,2024-09-10
Critical,2024-02-24,2751,2024-07-29
High,2024-01-06,8427,2024-10-12
Critical,2023-11-19,1479,2024-08-21
High,2024-01-24,309,2024-11-03
High,2023-12-18,8782,2024-09-05
Critical,2023-10-28,4971,2025-04-27
Critical,2023-12-17,4017,2024-08-15
Mild,2024-01-06,7671,2025-03-23
Mild,2024-04-14,6004,2024-11-21
Mild,2024-03-28,272,2025-01-31
Mild,2023-12-28,3083,2024-12-23
Mild,2023-11-11,4486,2024-12-04
High,2023-11-29,8468,2025-04-23
Critical,2024-02-25,2857,2025-04-12
Low,2024-04-24,18,2024-12-17
Low,2024-01-12,6293,2025-01-16
High,2024-01-16,5749,2025-02-16
Critical,2023-10-31,4487,2025-03-18
High,2023-11-10,5351,2025-03-04
High,2024-04-10,9551,2024-07-10
Mild,2023-10-29,3024,2024-11-28
Mild,2023-12-16,6976,2025-02-04
High,2024-01-16,720,2025-03-17
Low,2023-12-20,1498,2024-08-01
Low,2024-01-30,3596,2024-10-18
Critical,2024-02-24,4802,2025-03-08
Critical,2024-03-22,3389,2024-11-08
Mild,2024-04-08,1182,2024-07-11
High,2024-02-02,2421,2025-02-25
Mild,2023-10-11,944,2025-01-19
Mild,2023-10-26,1271,2025-02-22
Mild,2024-03-16,3876,2025-04-09
High,2023-11-29,3569,2024-08-28
Critical,2023-10-14,2666,2024-07-19
Mild,2024-03-20,874,2024-11-14
Mild,2024-01-03,4111,2024-06-04
